DESCRIPCION	codigo producto cleinte	descripcion rpdocuto cliente	HTS
Lilies	LILIES	LILIES	06.03.15.00.00
ACACIA	ACACIA	ACACIA	06.04.91.00.80
ACHILLEA	ACHILLEA	ACHILLEA	06.03.19.90.00
ACHILLEA/YARROW	ACHILLEA	ACHILLEA	06.03.19.00.60
AGAPANTHUS	AGAPANTHUS	AGAPANTHUS	06.03.19.00.60
Aglaonema	AGLAONEMA	AGLAONEMA	06.04.20.00.00
ALPINIA	ALPINIA	ALPINIA	06.03.19.00.60
ALSTRESIA	ALSTRESIA	ALSTRESIA	06.03.19.30.00
ALSTROEMERIA	ALSTROEMERIA	ALSTROEMERIA	06.03.19.30.00
ALSTROEMERIAS	ALSTROEMERIA	ALSTROEMERIA	06.03.19.30.00
ALSTROMERIA	ALSTROEMERIA	ALSTROEMERIA	06.03.19.30.00
AMARANTHUS	AMARANTHUS	AMARANTHUS	06.03.19.00.60
AMMI MAJUS	AMMI MAJUS	AMMI MAJUS	06.03.19.00.60
ANEMONA	ANEMONA	ANEMONA	06.03.19.00.60
Anemone	ANEMONE	ANEMONE	06.03.19.00.60
ANTHURIUM	ANTHURIUM	ANTHURIUM	06.03.19.01.05
ASCLEP	ASCLEP	ASCLEP	06.03.19.90.90
ASPIDISTRA	ASPIDISTRA	ASPIDISTRA	06.03.19.00.60
ASTER	ASTER	ASTER	06.03.19.00.60
Aster-Focal	ASTER	ASTER	06.03.19.00.60
ASTILBE	ASTILBE	ASTILBE	06.03.90.00.00
ATRIPL	ATRIPL	ATRIPL	06.03.19.90.90
Banana	BANANA	BANANA	08.03.10.10.00
BELL OR IRELAND	BELLS	BELLS	06.03.19.00.60
Bells	BELLS	BELLS	06.03.19.00.60
Bells of Ireland	BELLS	BELLS	06.03.19.00.60
BELLS OF IRLEAND	BELLS	BELLS	06.03.19.00.60
BOUVARDIA	BOUVARDIA	BOUVARDIA	06.03.19.90.90
BRASSICA	BRASSICA	BRASSICA	06.03.19.90.90
Bromeliad	BROMELIAD	BROMELIAD	06.03.19.90.90
BUPLEURUM	BUPLEURUM	BUPLEURUM	06.03.19.00.60
CALLA	CALLA	CALLA	06.03.19.00.60
Calla lily	CALLA	CALLA	06.03.19.00.60
CALLAS	CALLA	CALLA	06.03.19.00.60
CAMPANULA	CAMPANULA	CAMPANULA	06.03.19.00.60
CARNATION	CARNATION	CARNATION	06.03.12.70.00
Carnation CB	CARNATION	CARNATION	06.03.12.70.00
Carnation-Bu	CARNATION	CARNATION	06.03.12.70.00
Carnations	CARNATION	CARNATION	06.03.12.70.00
CELOSIA	CELOSIA	CELOSIA	06.03.90.00.00
CHRYSANTEMUM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
Chrysanthemum	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
Chrysanthemums	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
CIPRES	CIPRES	CIPRES	06.03.19.00.60
COCCULUS	COCCULUS	COCCULUS	06.04.20.00.00
Coffee	COFFEE	COFFEE	09.01.11.90.10
CRASPEDIA	CRASPEDIA	CRASPEDIA	06.03.19.90.90
CREMON	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.20
CROTON LEAVES	CROTON LEAVES	CROTON LEAVES	06.04.91.00.80
CURCUMA	CURCUMA	CURCUMA	06.03.90.00.00
CYMBIDIUM	CYMBIDIUM	CYMBIDIUM	06.03.13.01.60
Dahlia	DAHLIA	DAHLIA	06.03.19.00.60
DELPHINIUM	DELPHINIUM	DELPHINIUM	06.03.19.00.60
DIANTHUS	DIANTHUS	DIANTHUS	06.03.12.70.00
Dieffenbachi	DIEFFENBACHI	DIEFFENBACHI	06.04.20.00.00
DRACAENA	DRACAENA	DRACAENA	06.04.91.00.80
ERYNGIUM	ERYNGIUM	ERYNGIUM	06.03.19.00.60
EUCALYPTUS	EUCALYPTUS	EUCALYPTUS	06.03.19.00.60
Euphorbia	EUPHORBIA	EUPHORBIA	06.03.19.00.60
F SNAPDRAGON	SNAPDRAGON	SNAPDRAGON	06.03.19.90.90
F SUNFLOWER	SUNFLOWER	SUNFLOWER	06.03.19.00.60
F. MUMS	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.20
FOOTBALL	FOOTBALL	FOOTBALL	06.03.14.90.00
Garden Rose	GARDEN ROSE	GARDEN ROSE	06.03.11.00.00
GERBERA	GERBERA	GERBERA	06.03.19.00.60
GINGER	GINGER	GINGER	06.03.19.90.90
Gladiolus	GLADIOLUS	GLADIOLUS	06.03.19.90.90
GODETHIA	GODETHIA	GODETHIA	06.03.19.90.90
Godetia	GODETHIA	GODETHIA	06.03.19.90.90
Grape	GRAPE	GRAPE	08.06.10.00.00
Grapefruit	GRAPEFRUIT	GRAPEFRUIT	08.06.10.00.00
GYPSOPHILA	GYPSOPHILA	GYPSOPHILA	06.03.19.01.20
Gypsophilia	GYPSOPHILA	GYPSOPHILA	06.03.19.01.20
Hanging Heliconia	HELICONIA	HELICONIA	06.03.19.90.90
HELICONIA	HELICONIA	HELICONIA	06.03.19.90.90
Hipericum	HYPERYCUM	HYPERYCUM	06.03.19.00.60
Huckleberry	HUCKLEBERRY	HUCKLEBERRY	08.10.40.00.00
HYDRANGEA	HYDRANGEA	HYDRANGEA	06.03.19.90.90
HYPERICUM	HYPERYCUM	HYPERYCUM	06.03.19.00.60
HYPERYCUM	HYPERYCUM	HYPERYCUM	06.03.19.00.60
IRIS	IRIS	IRIS	06.03.19.90.10
Ivy	IVY	IVY	06.04.20.00.00
Kalanchoe	KALANCHOE	KALANCHOE	06.03.19.90.90
KALE	KALE ORNAMENTAL	KALE ORNAMENTAL	06.03.19.90.90
Kale/Brassic	KALE ORNAMENTAL	KALE ORNAMENTAL	06.03.19.90.90
Kiwi	KIWI	KIWI	08.10.50.00.00
LARKSPUR	LARKSPUR	LARKSPUR	06.03.19.90.90
Laurel	LAUREL	LAUREL	44.03.49.00.00
LEATHER LEAF	LEATHER LEAF	LEATHER LEAF	06.04.20.00.00
Leatherleaf	LEATHER LEAF	LEATHER LEAF	06.04.20.00.00
Lemon/Lime	LEMON/LIME	LEMON/LIME	08.05.50.10.00
LEUCADENDRON	LEUCADENDRON	LEUCADENDRON	06.03.19.00.60
LIATRIS	LIATRIS	LIATRIS	06.03.19.90.90
LIGUSTRUM	LIGUSTRUM	LIGUSTRUM	06.03.19.90.90
Lilies	LILY	LILY	06.03.15.00.00
LILY	LILY	LILY	06.03.15.00.00
Lily Asiatic	LILY	LILY	06.03.15.00.00
Lily LA Hybrid	LILY	LILY	06.03.15.00.00
Lily Oriental	LILY	LILY	06.03.15.00.00
Lily Valley	LILY	LILY	06.03.15.00.00
LIMONIUM	LIMONIUM	LIMONIUM	06.03.19.00.60
LIRIOPE	LIRIOPE	LIRIOPE	06.04.20.00.00
LIRIOS	LIRIOS	LIRIOS	06.03.19.90.10
LISIANTHUS	LISIANTHUS	LISIANTHUS	06.03.19.90.90
Lysimachia	LYSIMACHIA	LYSIMACHIA	06.03.19.00.60
MINI CALLA	MINI CALLA	MINI CALLA	06.03.19.90.90
Mini Carn	MINI CARNATION	MINI CARNATION	06.03.12.90.00
MINI CARNATION	MINI CARNATION	MINI CARNATION	06.03.12.90.00
Mini Gerbera	MINI GERBERA	MINI GERBERA	06.03.19.40.00
MINI HYDRANGEA	MINI HYDRANGEA	MINI HYDRANGEA	06.03.19.90.90
Minicarn	MINI CARNATION	MINI CARNATION	06.03.12.90.00
Minicarn CB	MINI CARNATION	MINI CARNATION	06.03.12.90.00
MINICARNATION	MINI CARNATION	MINI CARNATION	06.03.12.90.00
Minicarnations	MINI CARNATION	MINI CARNATION	06.03.12.90.00
MOLUCELLA	MOLUCELLA	MOLUCELLA	06.03.19.00.60
MUM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.90.00
Mum-Bunch	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.90.00
Mums-Bunch	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.90.00
Mums-Stem	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.90.00
MUSA	MUSA	MUSA	08.03.90.11.90
NARDOS	NARDOS	NARDOS	06.03.19.00.60
NERINES	NERINES	NERINES	06.03.19.90.90
ORNITOGALUM	ORNITOGALUM	ORNITOGALUM	06.03.19.00.60
PALM	PALM	PALM	06.04.20.00.00
Palm Buds	PALM	PALM	06.04.20.00.00
PAPYRUS	PAPYRUS	PAPYRUS	06.04.20.00.00
Pepper Berry	PEPPER BERRY	PEPPER BERRY	09.04.11.00.00
Philodendron	PHILODENDRON	PHILODENDRON	06.04.20.00.00
PHLOX	PHLOX	PHLOX	06.03.19.00.60
PHOTINIA	PHOTINIA	PHOTINIA	06.04.90.00.00
PHYLODENDRON	PHYLODENDRON	PHYLODENDRON	06.02.90.90.00
Pineapple	PINEAPPLES	PINEAPPLES	08.04.30.00.00
Pineapples	PINEAPPLES	PINEAPPLES	08.04.30.00.00
PINO	PINO	PINO	44.21.99.90.00
Pittosporum	PITTOSPORUM	PITTOSPORUM	06.04.20.00.00
POK	POK	POK	06.03.19.00.60
Pom Button	POMPON	POMPON	06.03.14.10.00
Pom CB	POMPON	POMPON	06.03.14.10.00
Pom CDN	POMPON	POMPON	06.03.14.10.00
Pom Cushion	POMPON	POMPON	06.03.14.10.00
Pom Daisy	POMPON	POMPON	06.03.14.10.00
Pom Micro	POMPON	POMPON	06.03.14.10.00
Pom Novelty	POMPON	POMPON	06.03.14.10.00
Pom Poms	POMPON	POMPON	06.03.14.10.00
Pom Pons	POMPON	POMPON	06.03.14.10.00
POMPOM	POMPON	POMPON	06.03.14.10.00
POMPON	POMPON	POMPON	06.03.14.10.00
Pompon Button	POMPON	POMPON	06.03.14.10.00
Pompon CDN	POMPON	POMPON	06.03.14.10.00
Pompon Cushion	POMPON	POMPON	06.03.14.10.00
Pompon Daisy	POMPON	POMPON	06.03.14.10.00
Pompon Micro	POMPON	POMPON	06.03.14.10.00
Pompon Novelty	POMPON	POMPON	06.03.14.10.00
RANUNCULUS	RANUNCULUS	RANUNCULUS	06.03.19.00.60
ROSA	ROSES	ROSES	06.03.11.00.60
ROSA GERALDINE	ROSES	ROSES	06.03.11.00.60
ROSA SEETNESS	ROSES	ROSES	06.03.11.00.60
ROSE HIGH	ROSES	ROSES	06.03.11.00.60
ROSE QUICK SAND	ROSES	ROSES	06.03.11.00.60
ROSE TARA	ROSES	ROSES	06.03.11.00.60
ROSE TERRANOSTRA	ROSES	ROSES	06.03.11.00.60
ROSES	ROSES	ROSES	06.03.11.00.60
